,datetime,title,content,category,url
4622,2010-05-04 08:40:00,Verdachte bomauto NY opgepakt,"De Amerikaanse opsporingsdiensten hebben een verdachte aangehouden in verband met de mislukte bomaanslag in New York. De man, Faisal Shaszad, is van Pakistaanse afkomst en werd vorig jaar tot Amerikaan genaturaliseerd. Hij stond op het punt een vliegtuig naar Dubai te nemen toen hij werd opgepakt. Volgens functionarissen was hij onlangs nog in Pakistan geweest. De auto die was gebruikt bij de mislukte aanslag had hij contant afgerekend in Connecticut. De politie was sinds gisteravond naar hem op zoek. De aanslag werd dit weekend verijdeld omdat iemand rook uit de geparkeerde auto zag komen. Volgens de politie had de bom veel slachtoffers kunnen maken. De Taliban eisten de verantwoordelijkheid voor de aanslag op, maar die claim werd niet geloofwaardig bevonden. De verdachte wordt vandaag voorgeleid voor een rechtbank in Manhattan. De justitie gaat na of Shaszad medeplichtigen had.",Buitenland,https://nos.nl/artikel/154954-verdachte-bomauto-ny-opgepakt.html
218741,2020-12-04 01:23:00,Blinde mensen kunnen zicht mogelijk deels terugkrijgen door nieuw implantaat,"Blinde mensen kunnen in de toekomst mogelijk deels hun zicht terugkrijgen dankzij nieuw ontwikkelde hersenimplantaten. Volgens het Nederlands Herseninstituut maken de implantaten het mogelijk beelden te herkennen zonder dat de ogen eraan te pas komen. De eerste onderzoeksresultaten, gepubliceerd in het toonaangevende tijdschrift Science, zijn volgens het instituut veelbelovend. De implantaten zijn bedoeld voor in de hersenschors, het gedeelte in het brein waar onder meer visuele informatie wordt verwerkt. Het idee om de hersenschors met een implantaat te stimuleren stamt al uit de jaren 70 van de vorige eeuw, maar de onderzoekers bij het instituut gebruiken nieuwe implantaten met veel meer elektroden in de hersenschors dan tot nu toe mogelijk was. Het onderzoeksteam ontwikkelde implantaten met 1024 elektroden en plaatste deze in de visuele hersenschors van twee niet-blinde apen. De apen kregen eerst de eenvoudige taak een lichtpuntje te herkennen dat werd opgewekt met een elektrode. Daarna moesten ze complexere taken uitvoeren, zoals het onderscheiden van letters die kunstmatig werden gecreëerd in de waarneming van de apen. Dat gebeurde door gelijktijdige stimulatie van acht tot vijftien elektroden. De apen konden met dit kunstmatige zien ook andere vormen herkennen, zoals lijnen en bewegende stippen. ""Je kunt het vergelijken met een matrixbord langs de snelweg"", zegt directeur Pieter Roelfsema van het Herseninstituut. ""Als er een lampje brandt, zie je een stip, maar als je het juiste patroon van lampjes aan zet, zie je een letter of woord. Dat is het type zien dat blinde mensen in de toekomst misschien kunnen krijgen."" ""Ons implantaat is rechtstreeks verbonden met de hersenen, en omzeilt dus de stadia van visuele verwerking door het oog of de oogzenuw"", zegt onderzoeker Xing Chen. ""In de toekomst zou dergelijke technologie gebruikt kunnen worden om het gezichtsvermogen te herstellen van mensen die als gevolg van letsel of door achteruitgang van netvlies, oog of oogzenuw blind geworden zijn, maar bij wie de visuele hersenschors nog intact is."" Met het onderzoek wordt een basis gelegd voor het ontwikkelen van een hersenprothese die blinde mensen in staat zou kunnen stellen om weer functioneel te zien en objecten te herkennen. Ook het navigeren in een onbekende omgeving behoort tot de mogelijkheden. Volgens het Herseninstituut betekent de doorbraak niet dat blinde mensen weer echt kunnen gaan zien. ""We hebben in onze ogen een miljoen pixels. Met het implantaat in de hersenschors zitten we nu op ruim duizend en we willen naar tienduizend. Dat is nog steeds veel slechter dan het normale zien, maar het is meer dan niets"", zegt Roelfsema.",Binnenland,https://nos.nl/artikel/2359209-blinde-mensen-kunnen-zicht-mogelijk-deels-terugkrijgen-door-nieuw-implantaat.html
74753,2014-01-15 09:52:00,Proef met centraal tellen stemmen,"Bij de gemeenteraadsverkiezingen in maart doen vijf gemeenten mee aan een experiment met het centraal tellen van stembiljetten. Het zijn Sittard-Geleen, Kampen, Raalte, Hardenberg en Ouder-Amstel. In deze gemeenten worden de stemmen geteld op een centrale locatie, in plaats van versnipperd in verschillende stemlokalen. Volgens minister Plasterk leidt het centraal tellen er misschien toe dat het sneller en efficiënter gaat. Ook is het voor kiezers, politici en media dan gemakkelijker om het tellen bij te wonen, zegt de minister. De gemeenteraadsverkiezingen zijn op 19 maart. Eind vorig jaar stelde een commissie voor de stemcomputer weer in te voeren en kiezers zelf hun stembiljet te laten uitprinten. Plasterk reageerde gematigd positief op dat voorstel. Het kabinet komt binnenkort met een uitgebreidere reactie. ",Politiek,https://nos.nl/artikel/597635-proef-met-centraal-tellen-stemmen.html
144824,2016-12-16 14:57:00,Toch extra geld voor ontslagen werknemers Hilckmann,"Het omstreden Nijmeegse slachthuis Hilckmann moet twintig werknemers toch een ontslagvergoeding betalen. Dat heeft de rechtbank in Nijmegen bepaald, meldt Omroep Gelderland. Het gaat om vergoedingen tussen de 11.500 en 40.000 euro. De FNV en de ontslagen werknemers hadden een rechtszaak aangespannen tegen Hilckmann, dat begin dit jaar plotseling dichtging. Volgens de rechter kan het bedrijf niet bewijzen dat het zo slecht ging dat het moest sluiten. De gemeente Nijmegen gaf het slachthuis een voorschot van 21 miljoen euro om te kunnen verhuizen naar Cuijk, met behoud van het personeel. De eigenaren sloten voor de verhuizing het bedrijf, waardoor ruim 200 mensen hun baan verloren. Wat er met die 21 miljoen euro gebeurd is, is nog steeds onduidelijk. Zeker 11 miljoen euro zou besteed zijn aan het aflossen van schulden. De gemeente probeert het geld nog steeds terug te krijgen. Hilckmann moet mogelijk ook een schadevergoeding betalen voor ontslaan van de werknemers. Het bedrijf zou vanwege ontwikkelingen op de Chinese markt niet verder kunnen. Ze hebben nog tot 13 januari de tijd om daar bewijs voor te leveren. Hilckmann laat weten de ontslagvergoeding te willen betalen maar de schadevergoeding niet.",Regionaal nieuws,https://nos.nl/artikel/2148685-toch-extra-geld-voor-ontslagen-werknemers-hilckmann.html
236009,2022-01-30 03:50:00,"Hinder in noordoosten VS door zware sneeuwbuien, twee doden in New York","Zware sneeuwbuien hebben in het noordoosten van de Verenigde Staten voor verkeersoverlast en stroomstoringen gezorgd. In de staten New York en Massachusetts is gisteren meer dan een halve meter sneeuw gevallen. In die eerste staat vielen door het noodweer twee doden. Volgens de Amerikaanse nieuwszender NBC vond een sneeuwruimer een vrouw dood in haar auto op Long Island, dat deel uitmaakt van New York. Het andere slachtoffer is een man die in een zwembad viel toen hij sneeuw aan het ruimen was. Volgens de nieuwszender gaat het in beide gevallen om twee New Yorkers op leeftijd. De stad drukt inwoners op het hart om alleen naar buiten te gaan als het noodzakelijk is. De overlast in beeld: In andere staten leidt het winterweer ook tot problemen. In Massachusetts zitten meer dan 95.000 huishoudens zonder stroom. Het hevige winterweer werd verwacht. In vijf staten was de noodtoestand uitgeroepen, omdat het zou gaan om de hevigste sneeuwval in jaren. De kou bereikt ook Florida, waar het volgens het nationale weerbureau NWS tot zes graden onder het vriespunt kan worden. De NWS waarschuwt dat leguanen uit bomen kunnen vallen in Florida, omdat ze vanwege de kou verlammen: Ook het vliegverkeer ondervindt hinder door het extreme winterweer. Duizenden vluchten in onder meer New York en New Jersey zijn geannuleerd.",Buitenland,https://nos.nl/artikel/2415037-hinder-in-noordoosten-vs-door-zware-sneeuwbuien-twee-doden-in-new-york
159044,2017-08-07 15:35:00,Russische oppositieleider Navalny promoot filmpje uit Zondag met Lubach,De Russische oppositieleider Aleksej Navalny heeft een filmpje uit het programma Zondag met Lubach op zijn website geplaatst en het op Twitter aanbevolen. Hij heeft er een Russische vertaling bij geplaatst. In het filmpje van vier maanden geleden legt Arjen Lubach uit hoe de oppositie in Rusland wordt gekneveld. Lubach vertelt dat Navalny premier Medvedev heeft beschuldigd van corruptie en nu zelf op dubieuze gronden veroordeeld is voor verduistering. Volgens Navalny was zijn proces politiek gemotiveerd. Door de veroordeling kan Navalny zich niet verkiesbaar stellen voor de Russische presidentsverkiezingen van volgend jaar. Het item van Zondag met Lubach wordt onder meer opgevrolijkt door beelden van een ongemakkelijk dansende premier Medvedev. Inmiddels hebben meer dan honderdduizend Russen het filmpje bekeken. ,Buitenland,https://nos.nl/artikel/2186917-russische-oppositieleider-navalny-promoot-filmpje-uit-zondag-met-lubach.html
129800,2016-05-06 02:15:00,Twee gewonden bij vechtpartij in opvang minderjarige asielzoekers,Bij een massale vechtpartij in een tijdelijke opvang voor minderjarige asielzoekers in Goirle zijn twee mensen aangehouden. Ze liepen allebei steekwonden op tijdens de vechtpartij. Een van hen moest worden behandeld in het ziekenhuis. Er waren zeker twaalf mensen betrokken bij de schermutseling. Maar de vechtpartij draaide volgens de politie waarschijnlijk om de twee gearresteerde jonge asielzoekers. De aanleiding is nog niet bekend. Bij de vechtpartij werden onder meer stokken en messen gebruikt. Er zijn ook vernielingen aangericht in het gebouw waar de minderjarige asielzoekers worden opgevangen. ,Binnenland,https://nos.nl/artikel/2103350-twee-gewonden-bij-vechtpartij-in-opvang-minderjarige-asielzoekers.html
160630,2017-09-05 17:27:00,320 miljoen dollar witwassen doe je zo,"Een lingeriewinkel in Amsterdam, een Nederlandse familie op Curaçao en honderden miljoenen dollars cash in Venezuela. Allemaal zijn ze verbonden in een van de grootste witwaszaken van de afgelopen jaren, die vandaag van start ging in de rechtbank in Zwolle. Zonder de vier verdachten, die waren er om uiteenlopende redenen niet bij. In ruim tien jaar tijd zou de familie G. meer dan 320 miljoen dollar hebben witgewassen. Hoe hebben ze dat volgens het Openbaar Ministerie gedaan? Het succes van de operatie is voor een groot deel te danken aan de instortende economie in Venezuela. Dat zit zo: het gaat al tijden heel slecht in het land en door die onrust is een Venezolaanse bolivar, de lokale munteenheid, steeds minder waard. Kreeg je tien jaar terug nog 47 dollarcent voor een bolivar, nu is dat nog maar 10 cent. Venezolanen zien het geld dat ze hebben dus razendsnel minder waard worden. Daarom ruilen ze hun bolivars liever om voor dollars, die zijn veel stabieler. Witwassen speelt een belangrijke rol in de onderwereld. Aan crimineel geld komen is één ding, om het uit kunnen geven, zul je er ook voor moeten zorgen dat niet te achterhalen is hoe je eraan gekomen bent. Dat kan bijvoorbeeld door alleen maar cash te betalen, maar bij het kopen van een auto of een huis zal een grote zak contant geld tot veel vragen leiden. Dus zetten criminelen grote bedragen liever op een bankrekening. Maar ook dat gaat niet zomaar: banken zijn ook niet gek, vaak zijn ze zelfs verplicht uit te zoeken waar zo'n grote hoeveelheid cash vandaan komt. Om je sporen uit te wissen heb je dus witwassers nodig. Zij zorgen ervoor dat je op een onverdachte manier je geld kunt uitgeven. Om een massale uitverkoop van bolivars te voorkomen, heeft de overheid in Venezuela een beperking opgelegd. Iedere Venezolaan kan een speciale creditcard krijgen en daar tegen een heel gunstige wisselkoers dollars op zetten. De overheid maakt die gunstige wisselkoers mogelijk: ze legt geld bij voor elke gewisselde bolivar. De creditcards kunnen alleen gebruikt worden voor kleine aankopen in het buitenland, en zijn alleen bedoeld voor medicijnen (die in eigen land door de crisis onbetaalbaar worden) en vakanties. Waaraan de burgers hun geld uitgeven kan de overheid gewoon zien op de bonnetjes van de creditcard. Terug naar de familie G. Die ruikt geld. De familie besluit om een bedrijf op te richten met onder meer vestigingen op Curaçao en in Nederland, en een Nederlandse bankrekening bij ING (dat is belangrijk, meer daarover later). Volgens de omschrijving van het bedrijf bij de Kamer van Koophandel handelt het bedrijf in medicijnen, en dat is precies waar de Venezolanen hun creditcard voor mogen gebruiken. Later verandert de omschrijving van het bedrijf naar lingeriewinkel. ""Kennelijk valt lingerie voor de overheid van Venezuela ook onder vakantie"", concludeert de persofficier. Om betalingen met de Venezolaanse creditcards aan te kunnen nemen, heeft de familie alleen nog pinapparaten nodig. Die vraagt het nu officieel geregistreerde bedrijf met een officiële bankrekening aan langs de normale weg: bij financieel dienstverleners, gewoon in de bovenwereld. De handel komt snel op gang, alleen medicijnen of ondergoed worden er nooit verkocht. De winkel is niet meer dan een woonadres in Amsterdam-Oost met een brievenbus. Venezolanen betalen in een soort wisselkantoren op Curaçao met hun speciale creditcard via de pin-terminals en op de rekening staat dat het om een betaling voor medicijnen of ondergoed gaat. Maar in werkelijkheid krijgen ze een stapel dollars, handje contantje. Dat ze voor die dollars veel meer betalen dan ze waard zijn, maakt ze niet uit. Het is altijd nog beter dan het alternatief. Bovendien kunnen ze de cash in eigen land op de zwarte markt weer met winst doorverkopen. Naast deze zogenoemde agents kloppen ook subagents bij de kantoren aan: mensen met niet één, maar een hele koffer vol speciale Venezolaanse creditcards. Ook de familie G. schiet er iets mee op: het zogenaamde lingeriebedrijf krijgt voor elke transactie een beloning. Oftewel: er komt meer geld binnen op de rekening dan dat ze cash uitbetalen. Tussen 2004 en nu leverde ze dat ruim 20 miljoen euro op, zegt het OM. Het klinkt allemaal wat vreemd, toch is deze handel rond cash wijdverbreid. 'Swipen' heet het, en niet alleen de Nederlandse familie op Curaçao zou eraan hebben verdiend. Opvallend genoeg is dat ook de verdediging waar de advocaten van de familie zich vandaag in de rechtbank in Zwolle op beroepen. ""Iedereen op Curaçao weet dat swipen op grote schaal gebeurde en gemeengoed is"", aldus een de advocaten. Doet er niet toe, stelt het OM. Want belangrijker nog dan de vraag of er geswipet is (en of dat legaal is of niet), is de vraag: waar komt al dat cashgeld vandaan dat de familie aan de klanten meegaf? Uit de ""keiharde misdaadwereld"", stelt de officier van justitie. Dit is namelijk waar het echte witwassen om de hoek komt kijken. Sommige klanten zijn bij het OM bekend. Zoals de Curaçaose loterijbaas Robbie dos Santos. Die is eerder al veroordeeld voor belastingfraude en witwassen en moest 36 miljoen euro terugbetalen. Andere bronnen van cash zijn moeilijker te achterhalen. Er zijn aanwijzingen dat het gaat om Zuid-Amerikaanse drugskartels. Sommige terminals zouden namelijk zijn teruggevonden langs de grenzen van Colombia, gebieden waar veel kartels actief zijn. De criminelen die hun pakketjes dollars aan de winkel meegaven, om doorverkocht te worden op de zwarte markt in Venezuela, krijgen daar natuurlijk iets voor terug. Voor elke hoeveelheid cash die bij de winkel is ingeleverd, krijgt de leverancier eenzelfde bedrag teruggestort op zijn rekening (minus het beetje winst dat de familie achterhoudt). Een digitale transactie dus, waarbij de sporen makkelijker zijn uit te wissen. De rekeningen kunnen bij banken staan die minder vragen stellen, en het geld kan direct via tientallen rekeningen worden doorgeschoven. Daar achteraangaan is zo goed als zinloos. De witwasconstructie is dan geslaagd. Een crimineel heeft zijn contante 'illegale' geld omgewisseld voor geld op een rekening dat hij gewoon kan uitgeven, zonder dat direct te achterhalen is waar het vandaan komt. In totaal hebben er zo'n 1 miljoen transacties via de winkel plaatsgevonden. In een groot aantal gevallen heeft het OM geen idee wie er achter de cash zit. Dat de familie G. toch tegen de lamp liep, is mede te danken aan een melding door ING. De bank vond het verdacht dat dat er 150 miljoen euro via de rekening van de kleine winkel stroomde en trok aan de bel. Op dit moment loopt er op Curaçao nog een onderzoek naar medewerkers van het familiebedrijf die mogelijk meegeholpen hebben bij het witwassen. Hoewel de advocaten van de familie G. het swipen niet ontkennen, is de familie nog niet veroordeeld voor witwassen. Wat de eisen zijn van het OM is nog niet duidelijk. De zaak is net begonnen, het kan nog maanden duren voordat de rechter een oordeel uitspreekt. Een belangrijke vraag de komende tijd zal zijn: komt de cash die in de winkel van de familie over de toonbank ging uit de onderwereld, en in hoeverre wisten de betrokkenen dat? Ook voor het OM staat er veel op het spel. Niet alleen zijn de Nederlandse overheid en het Nederlandse financiële stelsel volgens de officier van justitie op grote schaal misbruikt, de witwassers zijn de spil tussen de onder- en de bovenwereld. Ze maken veel verdere criminaliteit mogelijk. Over twee weken is de volgende zitting.",Economie,https://nos.nl/artikel/2191522-320-miljoen-dollar-witwassen-doe-je-zo.html
71223,2013-11-16 16:46:00,Auto's geraakt door fiets op A59,Onbekenden hebben vannacht vanaf een fietsbrug een fiets op de A59 bij Den Bosch gegooid. Daarbij raakten vier auto's beschadigd. Voor zover bekend is niemand gewond geraakt. De politie zoekt getuigen.,Binnenland,https://nos.nl/artikel/575832-auto-s-geraakt-door-fiets-op-a59.html
210875,2020-05-31 20:33:00,Nieuwe covid-besmettingen leggen Suriname lam,"In Suriname is code rood afgekondigd vanwege vier nieuwe coronabesmettingen. Scholen die maandag weer open zouden gaan voor leerlingen blijven langer dicht en het binnenlandse vliegverkeer is stilgelegd. De nieuwe covid-19-besmettingen zijn gemeld door het ministerie van Volksgezondheid van Suriname. Correspondent Nina Jurna vanuit Brazilië: ""De afgelopen weken kwamen er geen nieuwe besmettingen bij. Toch is het virus nu weer opgelaaid. In Suriname gaan bij een paar besmettingen alle alarmbellen al af, omdat het land slechts 25 tot 30 beademingsapparaten telt."" In totaal telt Suriname nu vijftien coronapatiënten. Van hen is er een overleden. Van de vier nieuwe besmettingsgevallen werd er een gemeld op dinsdag 26 mei, twee gisteren en een vandaag. Volgens het ministerie is nog niet van alle besmettingen ook de bron bekend. President Desi Bouterse komt later met een verklaring. Mogelijk komen de besmettingen vanuit buurland Frans-Guyana. ""Dit zijn poreuze grenzen"", aldus Jurna. De heropening van de scholen is nu uitgesteld naar volgende week maandag. Het binnenlandse vliegverkeer van en naar Paramaribo is stilgelegd, wegen naar het oosten zijn afgesloten en een belangrijke brug is dicht. Surinamers moeten vanwege code rood zoveel mogelijk thuisblijven en afstand houden. Die maatregelen bleken lastig afgelopen week bij de verkiezingen. Die waren afgelopen maandag en verliepen rommelig. Het aantal getelde stemmen staat op 99,5 procent. Vandaag zouden leden van het Onafhankelijk Kiesbureau (OKB) geweerd zijn uit een sporthal in Paramaribo, waar de laatste verkiezingsresultaten worden verwerkt. Het sluiten van de sporthal zou te maken hebben met het afkondigen van de code rood, meldt de nieuwssite Starnieuws. De voorzitter is verontwaardigd over het terugsturen van haar medewerkers. ""Dit is de zoveelste belediging, de maat is vol"", zegt OKB-voorzitter Jennifer van Dijk-Silos tegen Starnieuws. Maar de ondervoorzitter van het stembureau weerspreekt dat en zegt niemand geweerd te hebben. In een reactie op de ontstane onrust zegt de voorzitter van het hoofdstembureau ""uit veiligheidsoverwegingen besloten te hebben de verkiezingswerkzaamheden te staken vanwege covid-19"". Er wordt volgens voorzitter Nerkust één rustdag ingelast. Vier oppositiepartijen in Suriname hebben intussen een regeerakkoord gesloten. Ze lopen daarmee vooruit op de officiële verkiezingsuitslag. Volgens het akkoord wordt Chan Santokhi van de VHP de nieuwe president van Suriname.",Buitenland,https://nos.nl/artikel/2335762-nieuwe-covid-besmettingen-leggen-suriname-lam.html
