					A	B	C	D
203893	Johnson	4047732					
203893	Het	2036892		
203893	Het	2036892	
203893	Bij	140403	
119915	Echt	2756444			./	./	./	./
119915	Rond	10541711	
119915	Het	2036892	
204412	Een	2756380	
204412	Den Haag	2747373		./	./	./	./
204412	Een	2756380	
204412	Den Haag	2747373		./	./	./	./
76704	Het	2036892	
76704	Het	2036892	
76704	Het	2036892	
76704	Het	2036892	
76704	Het	2036892	
184695	Het	2036892	
184695	Thousand Oaks	5402405		./	./		./
184695	Los Angeles	5368361		./	./	./
184695	Thousand Oaks	5402405		./	./		./
151227	Maas	1636230	
151227	Maas	1636230	
151227	Hij	1862415	
151227	Maas	1636230	
232554	Panama	3703430			./	./	./	./
232554	Colombia	3686110		./	./	./	./
232554	Nederland	4713932		./	./	./	./
232554	Panama	3703430			./	./	./	./
232554	Nederland	4713932		./	./	./
232554	Panama	3703430			./	./	./	./
232554	Panama	3703430			./	./	./	./
232554	Het	2036892	
232554	Ook	1901086	
232554	Colombia	3686110		./	./	./	./
232554	Cartagena	3687238		X	./	./
232554	Colombia	3686110		./	./	./
140113	Het	2036892			15/35
140113	Daar	2605836	
140113	Het	2036892	
140113	Het	2036892	
140113	Het	2036892	
140113	Willem	939738	
140113	Hij	1862415	
140113	Amsterdam	2759794			./		./
140113	Bernhard	11695204				
140113	Prinses Beatrix				
140113	Het	2036892	
140113	Den Helder	2757220			./	./	./
140113	Defensie	2748688	
140113	Een	2756380	
140113	Het	2036892	
140113	Het	2036892	
140113	Daarin	62373	
140113	Daar	2605836	
178143	Cel	3054531	
178143	Amsterdam	2759794			./	./	./
178143	Dat	9985631				19/57
178143	Een	2756380	
178143	Het	2036892	
178143	Rutte	2842781	
178143	Ook	1901086	
8755	Wijk bij Duurstede	2744483			./	./
8755	Het	2036892	
8755	Wijk bij Duurstede	2744483			./	./
8755	Maurik	2751085	
8755	Wijk bij Duurstede	2744483			./	./
8755	Wijk bij Duurstede	2744483			./	./
189195	Het	2036892	
189195	Het	2036892	
189195	Dat	2037799	
118113	Auschwitz	3089658				./	./
118113	Een	2756380	
118113	Oranienburg	2857129	
118113	Buchenwald	2607473				./	./
118113	Het	2036892
67460	Washington	4140963	
67460	Hij	1862415	
67460	Het	2036892	
128351	Ook	5876385	
128351	Dat	1440438	
172149	Waterpark	941636	
172149	Kansas	4273857					./	./
172149	Het	2036892	
172149	Waterpark	941636	
172149	Waterpark	941636	
4066	Het	2036892					
4066	Schiphol	10173839				22/87		
20828	Het	2036892	
20828	Een	2756380	
290828	Als	2624788	
107170	Een	2360900	
107170	Bashir	12027790	
107170	Een	2360900	
107170	Bashir	12027790	
107170	Den Haag	2747373				./
107170	Bashir	12027790	
107170	Bashir	12027790	
107170	Darfur	5023853					24/98
103888	Gran Canaria	3558106
103888	Een	5088262	
103888	Gran Canaria	3558106
103888	Tenerife	2511174
103888	La Gomera	3594575


